px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	1
0.734108	0.628248	7.23347	-6.35815e-17	5.36219e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	73.9473
1.16053	0.494861	7.23669	-0.126964	-0.0118344	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.21963
1.25747	0.533288	7.22074	0.121144	0.0302707	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.82684
1.61635	0.59526	7.23513	0.160562	0.0462173	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.164886
1.85132	0.563116	5.96282	0.0300856	-0.213606	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	7.12935
2.16137	0.593145	5.9635	0.0445205	-0.160547	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.245931
2.37674	0.640559	5.51282	0.0690751	-0.248614	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	5.36222
2.65081	0.659593	5.51316	0.0593067	-0.238703	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.00364926
2.91742	0.653988	5.45096	0.0158302	-0.372409	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.192664
3.15055	0.652051	5.40397	0.00332162	-0.35099	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.08715
3.43781	0.547383	5.45855	-0.149308	-0.787708	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.4611
3.74177	0.433753	5.54725	-0.275186	-1.04131	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.30641
4.02109	0.518768	5.52885	-0.135069	-0.511609	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	3.97391
4.29454	0.512079	5.50366	-0.127268	-0.429818	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.308865
4.55185	0.555317	5.35888	-0.0775463	-0.269911	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.64254
4.73188	0.670035	5.13378	0.0315373	-0.00950951	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	11.6145
4.98325	0.66823	5.03843	0.0224931	-0.0257083	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	1.06672
5.28233	0.659956	5.12173	0.00812962	-0.0508384	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	3.0086
5.5432	0.665022	5.25159	0.00973463	-0.0427477	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.94141
5.84003	0.677863	5.30845	0.0136344	-0.0331235	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.81283
6.08064	0.604721	5.15089	-0.0404675	-0.118327	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	3.37304
6.33283	0.716692	5.12801	0.0339642	0.00567862	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.66861
6.5828	0.748152	5.08389	0.0485078	0.026771	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.306679
6.82804	0.745551	5.07099	0.0410536	0.0142601	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.175148
7.06901	0.729359	4.91485	0.0257922	-0.00875353	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	1.92009
7.28235	0.811916	4.8598	0.0700437	0.0523056	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	2.57061
7.58184	0.82272	5.15357	0.0673935	0.0452904	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	5.33325
7.83489	0.801054	5.14573	0.048391	0.0175255	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.484661
8.08268	0.818388	5.00043	0.0516005	0.0197432	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.17874
8.31827	0.835536	4.9773	0.0552788	0.0233224	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.264239
8.59234	0.923265	5.22962	0.0944921	0.0725199	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.75357
8.8335	0.982698	5.20035	0.116347	0.0957328	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.705025
9.12564	1.02188	5.26464	0.123874	0.0987776	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.78104
9.36542	1.05531	5.22894	0.129947	0.100456	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.637642
9.64665	1.12926	5.29713	0.153221	0.123221	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.3553
9.92535	1.25883	5.34501	0.201393	0.175823	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	3.06069
10.1703	1.34863	5.15264	0.229978	0.202469	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.84315
10.3918	1.42886	5.11041	0.251757	0.217541	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.15259
10.6206	1.50941	4.91752	0.273764	0.23365	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	2.9614
10.839	1.53906	4.87238	0.268737	0.212922	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.07808
11.1084	1.59163	5.02514	0.268508	0.197794	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	2.43899
11.3894	1.63922	5.08145	0.265073	0.180619	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	2.13069
11.6191	1.69433	4.99965	0.270193	0.176276	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.636434
11.8466	1.75871	4.97693	0.278682	0.175954	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.251975
12.1058	1.8517	5.13813	0.295183	0.184333	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.52765
12.3501	1.87999	5.11185	0.281807	0.155909	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.651636
12.6078	1.94325	5.21446	0.282936	0.146444	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.690033
12.8095	2.07855	5.16899	0.324897	0.190062	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.2353
13.0794	2.19269	5.3432	0.344033	0.200237	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	2.67224
